BIG_MESSAGE.EXTRACTION.ACTIVATED	回收站已啟用
TUTORIAL.INVENTORY_FILL.TEXT	抓取物品並使用 [inventory1]/[inventory2]/[inventory3] 將其放入欄位。
TUTORIAL.INVENTORY_FILL.FOCUS_TEXT	填滿你的整個物品欄！
TUTORIAL.INVENTORY_FILL.DUMMY_TEXT	當使用 [grab] 拿著物品時，按下 [inventory1]/[inventory2]/[inventory3]。填滿所有物品欄位以完成進度條！
TUTORIAL.INVENTORY_EMPTY.TEXT	使用 [inventory1]/[inventory2]/[inventory3] 從物品欄取出物品。
TUTORIAL.INVENTORY_EMPTY.FOCUS_TEXT	清空你的整個物品欄！
TUTORIAL.INVENTORY_EMPTY.DUMMY_TEXT	使用 [inventory1]/[inventory2]/[inventory3] 清空所有欄位以填滿進度條！
TUTORIAL.MAP.TEXT	使用 [map] 查看地圖。地圖對於導航<b><u>非常重要</u></b>。
TUTORIAL.MAP.FOCUS_TEXT	檢查地圖！
TUTORIAL.MAP.DUMMY_TEXT	按住 [map] 並查看它，直到填滿進度條！
TUTORIAL.CART_HANDLING_1.TEXT	這是一台 C.A.R.T. 手推車。抓取它的手把。
TUTORIAL.CART_HANDLING_1.FOCUS_TEXT	拉著 C.A.R.T. 四處走走！
TUTORIAL.CART_HANDLING_1.DUMMY_TEXT	使用 [grab] 抓取 C.A.R.T. 的手把，並拉著它四處走動，直到填滿進度條！
TUTORIAL.CART_HANDLING_2.TEXT	在 C.A.R.T. 中裝滿貴重物品。C.A.R.T. 對於攜帶更多東西<b><u>非常重要</u></b>。
TUTORIAL.CART_HANDLING_2.FOCUS_TEXT	將 C.A.R.T. 裝滿貴重物品！
TUTORIAL.CART_HANDLING_2.DUMMY_TEXT	將三件物品放入 C.A.R.T. 中。
TUTORIAL.EXTRACTION_POINTS.TEXT	啟用並將貴重物品放入<b><u>回收站</u></b>。
TUTORIAL.EXTRACTION_POINTS.FOCUS_TEXT	回收貴重物品！
TUTORIAL.EXTRACTION_POINTS.DUMMY_TEXT	嘿！把貴重物品放進<b><u>回收站</u></b>！
TUTORIAL.TRUCK.TEXT	進入<b><u>卡車</u></b>並發送訊息給你的老闆，以便離開關卡。
TUTORIAL.TRUCK.FOCUS_TEXT	進入卡車並發送訊息！
TUTORIAL.TRUCK.DUMMY_TEXT	走進卡車，使用 [grab] 抓取並按住卡車螢幕上的訊息區域以發送訊息！
TUTORIAL.HEALING.TEXT	透過抓取其他玩家的脖子來分享你的生命！
TUTORIAL.REVIVING.TEXT	透過回收其他玩家的頭部來復活他們！
TUTORIAL.CHARGING_STATION.TEXT	為<b><u>充電站</u></b>購買<b><u>能量水晶</u></b>，以補給並修理你的裝備！
TUTORIAL.ONLY_ONE_EXTRACTION.TEXT	一次只能啟用一個<b><u>回收站</u></b>，請使用地圖尋找當前的回收站！
TUTORIAL.CHAT.TEXT	按下 [chat] 開啟聊天室！這很有趣！
TUTORIAL.FINAL_EXTRACTION.TEXT	該離開了，卡車會治癒你並復活攜帶的玩家頭部！
TUTORIAL.MULTIPLE_EXTRACTIONS.TEXT	此關卡有多個<b><u>回收站</u></b>，你必須清除所有回收站才能離開！
TUTORIAL.SHOP.TEXT	這是<b><u>商店</u></b>，回收物品以進行購買。這裡不會留下永久傷害！
TUTORIAL.EXPRESSIONS.TEXT	使用 [expression1] 到 [expression6] 來做表情。你甚至可以混合使用！
TUTORIAL.OVERCHARGE_1.TEXT	抓取敵人現在會導致過載，全滿時你會被震飛。
TUTORIAL.OVERCHARGE_2.TEXT	多個人一起抓取可以緩解過載效果。
TUTORIAL.HEAD_SPECTATE_1.TEXT	死亡時你的頭部會充能，使用該能量可短暫控制你的頭部。
TUTORIAL.HEAD_SPECTATE_2.TEXT	在控制頭部時，按住 [jump] 即可跳躍。按住越久跳得越高，但消耗也越大。
TUTORIAL.ENEMY_ELSA.TEXT	摸摸小狗！
MOON_UI.SKIP	按下 [menu] 跳過
TUTORIAL.EXTRACTION_REMINDER.TEXT	將貴重物品放入<b><u>回收站</u></b>。
TUTORIAL.COSMETIC_WORLD_OBJECT_1.TEXT	這是一個<b><u>外觀箱</u></b>，回收它以獲得獎勵。
TUTORIAL.COSMETIC_WORLD_OBJECT_2.TEXT	如果它損壞了，你可以消耗自己的生命來<b><u>修理</u></b>它。
TUTORIAL.COSMETIC_SHOP_MACHINE.TEXT	將<b><u>稅務代幣</u></b>插入商店機器以領取獎勵。
FOCUS.PREFIX	目標
FOCUS.SHOP.INTRO	在商店購買東西
FOCUS.TRUCK.INTRO	享受這段路程，補給能源並整裝待發！
COSMETIC_SHOP_MACHINE.INFO_TEXT	按下 [interact] 插入稅務代幣
ITEM.CART_CANNON	C.A.R.T. 大砲
ITEM.CART_LASER	C.A.R.T. 雷射
ITEM.CART_MEDIUM    C.A.R.T.
ITEM.CART_SMALL	便攜式 C.A.R.T.
ITEM.DRONE_BATTERY	充電無人機
ITEM.DRONE_FEATHER	輕盈無人機
ITEM.DRONE_INDESTRUCTIBLE	保護無人機
ITEM.DRONE_TORQUE	翻滾無人機
ITEM.DRONE_ZERO_GRAVITY	無重力無人機
ITEM.DUCK_BUCKET	鴨桶
ITEM.EXTRACTION_TRACKER	回收站追蹤器
ITEM.GRENADE_DUCT_TAPED	膠帶綑綁手榴彈
ITEM.GRENADE_EXPLOSIVE	手榴彈
ITEM.GRENADE_HUMAN	人類手榴彈
ITEM.GRENADE_SHOCKWAVE	衝擊波手榴彈
ITEM.GRENADE_STUN	擊暈手榴彈
ITEM.GUN_HANDGUN	手槍
ITEM.GUN_LASER	光子發射器
ITEM.GUN_SHOCKWAVE	脈衝手槍
ITEM.GUN_SHOTGUN	散彈槍
ITEM.GUN_STUN	電擊槍
ITEM.GUN_TRANQ	麻醉槍
ITEM.HEALTH_PACK_LARGE	大型醫藥包 (100)
ITEM.HEALTH_PACK_MEDIUM	中型醫藥包 (50)
ITEM.HEALTH_PACK_SMALL	小型醫藥包 (25)
ITEM.LEAF_BLOWER	吹葉機
ITEM.MELEE_BASEBALL_BAT	棒球棍
ITEM.MELEE_FRYING_PAN	平底鍋
ITEM.MELEE_INFLATABLE_HAMMER	充氣錘
ITEM.MELEE_SLEDGE_HAMMER	大鐵鎚
ITEM.MELEE_STUN_BATON	電擊棒
ITEM.MELEE_SWORD	劍
ITEM.MINE_EXPLOSIVE	爆炸地雷
ITEM.MINE_SHOCKWAVE	衝擊波地雷
ITEM.MINE_STUN	擊暈陷阱
ITEM.ORB_ZERO_GRAVITY	無重力球
ITEM.PHASE_BRIDGE	相位橋
ITEM.POWER_CRYSTAL	能量水晶
ITEM.REVIVE_ITEM	除顫器
ITEM.RUBBER_DUCK	黃色小鴨
ITEM.STAFF_TORQUE	翻滾法杖
ITEM.STAFF_VOID	虛空法杖
ITEM.STAFF_ZERO_GRAVITY	無重力法杖
ITEM.UPGRADE_DEATH_HEAD_BATTERY	亡者頭部電池升級
ITEM.UPGRADE_MAP_PLAYER_COUNT	地圖玩家計數升級
ITEM.UPGRADE_PLAYER_CROUCH_REST	蹲下休息升級
ITEM.UPGRADE_PLAYER_ENERGY	體力升級
ITEM.UPGRADE_PLAYER_EXTRA_JUMP	額外跳躍升級
ITEM.UPGRADE_PLAYER_GRAB_RANGE	抓取範圍升級
ITEM.UPGRADE_PLAYER_GRAB_STRENGTH	抓取力量升級
ITEM.UPGRADE_PLAYER_HEALTH	生命升級
ITEM.UPGRADE_PLAYER_SPRINT_SPEED	衝刺速度升級
ITEM.UPGRADE_PLAYER_TUMBLE_CLIMB	翻滾攀爬升級
ITEM.UPGRADE_PLAYER_TUMBLE_LAUNCH	翻滾彈射升級
ITEM.UPGRADE_PLAYER_TUMBLE_WINGS	翻滾之翼升級
ITEM.VALUABLE_TRACKER	貴重物品追蹤器
ITEM.VEHICLE_SEMISCOOTER	運輸者
ITEM.VEHICLE_SEMISCOOTER_SMALL	偵察者
ITEM.WALKIE_TALKIE	半機器人無線電
ITEM.WALKIE_TALKIE_BOX	半機器人無線電箱
STATS.UPGRADES.HEADER	升級
LEVEL.HEADER	關卡
STATS.UPGRADE.CROUCH_REST	蹲下休息
STATS.UPGRADE.DEATH_HEAD_BATTERY	亡者頭部電池
STATS.UPGRADE.EXTRA_JUMP	額外跳躍
STATS.UPGRADE.HEALTH	生命
STATS.UPGRADE.LAUNCH	翻滾彈射
STATS.UPGRADE.MAP_PLAYER_COUNT	地圖玩家統計
STATS.UPGRADE.RANGE	範圍
STATS.UPGRADE.SPEED	衝刺速度
STATS.UPGRADE.STAMINA	體力
STATS.UPGRADE.STRENGTH	力量
STATS.UPGRADE.TUMBLE_CLIMB	翻滾攀爬
STATS.UPGRADE.TUMBLE_WINGS	翻滾之翼
ENEMY.ANIMAL	野獸
ENEMY.BANG	自爆怪
ENEMY.BEAMER	小丑
ENEMY.BIRTHDAY_BOY	壽星男孩
ENEMY.BOMB_THROWER	清理小隊
ENEMY.BOWTIE	領結怪
ENEMY.CEILING_EYE	窺視者
ENEMY.DUCK	頂級掠食者
ENEMY.ELSA	艾莎
ENEMY.FLOATER	念力師
ENEMY.GNOME	地精
ENEMY.HEAD	大頭大師
ENEMY.HEAD_GRABBER	抓頭怪
ENEMY.HEART_HUGGER	魅惑心魔
ENEMY.HIDDEN	匿跡者
ENEMY.HUNTER	盲眼獵人
ENEMY.OOGLY	聚光魔
ENEMY.ROBE	長袍怪
ENEMY.RUNNER	死神
ENEMY.SHADOW	織影魔
ENEMY.SLOW_MOUTH	噴吐怪
ENEMY.SLOW_WALKER	重步兵
ENEMY.SPINNY	賭徒
ENEMY.THIN_MAN	暗影神童
ENEMY.TICK	吸血蟲
ENEMY.TRICYCLE	貝拉
ENEMY.TUMBLER	廚師 
ENEMY.UPSCREAM	尖叫獸 
ENEMY.VALUABLE_THROWER	小魔怪 
UPGRADE_STAND.INTERACT	長按重骰 ({cost})
ARENA.WINNER.KING	失敗者之王！
ARENA.WINNER.LOSERS	大家都是失敗者！
ARENA.MESSAGE.LAST_LOSER_STANDING	最後一位倖存的失敗者
ARENA.MESSAGE.GAME_OVER	遊戲結束
SPECTATE_LIST.HEADER	破碎者名單：
ITEM.CART.MODE_STRONG	模式：強
ITEM.CART.MODE_WEAK	模式：弱
