MAIN.PRIVATE_GAME	私人遊戲
REGIONS.BACK	返回
REGIONS.REGION.PICK_BEST_REGION	選擇最佳區域
REGIONS.REGION.ASIA	亞洲
REGIONS.REGION.AU	澳洲
REGIONS.REGION.CAE	加拿大東部
REGIONS.REGION.CN	中國大陸
REGIONS.REGION.EU	歐洲
REGIONS.REGION.HK	香港
REGIONS.REGION.IN	印度
REGIONS.REGION.JP	日本
REGIONS.REGION.ZA	南非
REGIONS.REGION.SA	南美洲
REGIONS.REGION.KR	南韓
REGIONS.REGION.TR	土耳其
REGIONS.REGION.UAE	阿拉伯聯合大公國
REGIONS.REGION.US	美國東部
REGIONS.REGION.USW	美國西部
REGIONS.REGION.USSC	美國中南部
SAVES.SAVE_INFO.SORRY	抱歉！
SAVES.SAVE_INFO.PRESS_DELETE	按下「刪除存檔」以刪除\n整個存檔資料夾。
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   以及   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	存檔文件損壞
SAVES.SAVE_FILE.UH_OH	喔不！
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	存檔文件損壞
SAVES_RENAME.RENAME_SAVE	重新命名存檔
SAVES_RENAME.BACK	返回
SAVES_RENAME.CONFIRM	確認
SAVES.SAVE_INFO.CLICK_TO_RENAME	（點擊以重新命名）
SETTINGS.HEADER	設定
SETTINGS.GAMEPLAY	遊戲設定
SETTINGS.GRAPHICS	影像設定
SETTINGS.AUDIO	音訊設定
SETTINGS.CONTROLS	控制設定
SETTINGS.LANGUAGE	語言
SETTINGS.BACK	返回
SETTINGS.BOOL.ON	開啟
SETTINGS.BOOL.OFF	關閉
SETTINGS.BOOL.TOGGLE	切換
SETTINGS.BOOL.HOLD	長按
SETTINGS.GAMEPLAY.HEADER	遊戲設定
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	恢復預設設定
SETTINGS.GAMEPLAY.TIPS	提示
SETTINGS.GAMEPLAY.PLAYER_NAMES	玩家名稱
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	光敏感模式
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	蜘蛛恐懼症模式
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	瞄準靈敏度
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	鏡頭平滑
SETTINGS.GAMEPLAY.CAMERA_SHAKE	鏡頭震動
SETTINGS.GAMEPLAY.CAMERA_NOISE	鏡頭雜訊
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	鏡頭動畫
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	反轉垂直瞄準
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	物品卸除自動長按
SETTINGS.GAMEPLAY.RICH_PRESENCE	豐富狀態顯示
SETTINGS.GAMEPLAY.COSMETICS	外觀裝飾
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	恢復預設設定
SETTINGS.GRAPHICS.WINDOW_MODE	視窗模式
SETTINGS.GRAPHICS.VSYNC	垂直同步
SETTINGS.GRAPHICS.GAMMA	伽瑪
SETTINGS.GRAPHICS.MAX_FPS	最大幀率 (FPS)
SETTINGS.GRAPHICS.LIGHT_DISTANCE	光照距離
SETTINGS.GRAPHICS.SHADOW_QUALITY	陰影品質
SETTINGS.GRAPHICS.SHADOW_DISTANCE	陰影距離
SETTINGS.GRAPHICS.MOTION_BLUR	動態模糊
SETTINGS.GRAPHICS.LENS_DISTORTION	鏡頭畸變
SETTINGS.GRAPHICS.BLOOM	反光/炫光 (Bloom)
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	色差
SETTINGS.GRAPHICS.GRAIN	顆粒感
SETTINGS.GRAPHICS.GLITCH_LOOP	故障迴圈效果
SETTINGS.GRAPHICS.PIXELATION	像素化
SETTINGS.AUDIO.HEADER	音訊設定
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	恢復預設設定
SETTINGS.AUDIO.MASTER_VOLUME	主音量
SETTINGS.AUDIO.MUSIC_VOLUME	音樂音量
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	近距離語音音量
SETTINGS.AUDIO.MICROPHONE	麥克風
SETTINGS.AUDIO.MICROPHONE_VOLUME	麥克風音量
SETTINGS.AUDIO.PUSH_TO_TALK	按鍵說話
SETTINGS.CONTROLS.HEADER	控制設定
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	恢復預設設定
SETTINGS.CONTROLS.MOVEMENT	移動
SETTINGS.CONTROLS.MOVE_FORWARD	向前移動
SETTINGS.CONTROLS.MOVE_LEFT	向左移動
SETTINGS.CONTROLS.MOVE_BACK	向後移動
SETTINGS.CONTROLS.MOVE_RIGHT	向右移動
SETTINGS.CONTROLS.JUMP	跳躍
SETTINGS.CONTROLS.CROUCH	蹲下
SETTINGS.CONTROLS.SPRINT	衝刺
SETTINGS.CONTROLS.TUMBLE	翻滾
SETTINGS.CONTROLS.GRABBING	抓取
SETTINGS.CONTROLS.GRAB	抓取
SETTINGS.CONTROLS.ROTATE	旋轉
SETTINGS.CONTROLS.PUSH	推
SETTINGS.CONTROLS.PULL	拉
SETTINGS.CONTROLS.OTHER	其他
SETTINGS.CONTROLS.MAP	地圖
SETTINGS.CONTROLS.INTERACT	互動
SETTINGS.CONTROLS.INVENTORY_1	物品欄 1
SETTINGS.CONTROLS.INVENTORY_2	物品欄 2
SETTINGS.CONTROLS.INVENTORY_3	物品欄 3
SETTINGS.CONTROLS.CHAT	對話
SETTINGS.CONTROLS.CONFIRM	確認
SETTINGS.CONTROLS.BACK	返回
SETTINGS.CONTROLS.MENU	選單
SETTINGS.CONTROLS.SPECTATE_NEXT	觀戰下一位
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	觀戰前一位
SETTINGS.CONTROLS.PUSH_TO_TALK	按鍵說話
SETTINGS.CONTROLS.TOGGLE_MUTE	切換靜音
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	玩家表情
SETTINGS.LANGUAGE.HEADER	語言
COSMETICS.CATEGORY.PRESETS	預設存檔
COSMETICS.CATEGORY.HEAD	頭部
COSMETICS.CATEGORY.ARMS	手臂
COSMETICS.CATEGORY.BODY	身體
COSMETICS.CATEGORY.LEGS	腿部
COSMETICS.CONFIRM	確認
COSMETICS.COLOR.HEADER	選擇顏色
COSMETICS.COLOR.CONFIRM	確認
COSMETICS.PRESET.DELETE	刪除
COSMETICS.TYPE.HAT	帽子
COSMETICS.TYPE.ARM_RIGHT	右臂裝飾
COSMETICS.TYPE.ARM_LEFT	左臂裝飾
COSMETICS.TYPE.LEG_RIGHT	右腿裝飾
COSMETICS.TYPE.LEG_LEFT	左腿裝飾
COSMETICS.TYPE.HEAD_TOP_MESH	頭頂模型
COSMETICS.TYPE.HEAD_BOTTOM_MESH	底部頭部模型
COSMETICS.TYPE.BODY_TOP_MESH	上身模型
COSMETICS.TYPE.BODY_BOTTOM_MESH	下身模型
COSMETICS.TYPE.ARM_RIGHT_MESH	右臂模型
COSMETICS.TYPE.ARM_LEFT_MESH	左臂模型
COSMETICS.TYPE.LEG_RIGHT_MESH	右腿模型
COSMETICS.TYPE.LEG_LEFT_MESH	左腿模型
COSMETICS.TYPE.GRABBER_MESH	抓取器模型
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	右眼皮模型
COSMETICS.TYPE.EYE_LID_LEFT_MESH	左眼皮模型
COSMETICS.TYPE.BODY_TOP_OVERLAY	上身覆蓋層
COSMETICS.TYPE.EARS	耳朵
COSMETICS.TYPE.EYEWEAR	眼部裝飾
COSMETICS.TYPE.BODY_TOP	上身穿著
COSMETICS.TYPE.BODY_BOTTOM	下身穿著
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	下身覆蓋層
COSMETICS.TYPE.HEAD_TOP_OVERLAY	頭頂覆蓋層
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	底部頭部覆蓋層
POPUP.DELETE_PRESET.HEADER	刪除預設
POPUP.DELETE_PRESET.BODY	你「真的確定」要永久刪除這個預設存檔嗎？
POPUP.DELETE_PRESET.OPT1	是的！ :')
POPUP.DELETE_PRESET.OPT2	不...
SETTINGS.CONTROLS.ANGRY	憤怒
SETTINGS.CONTROLS.SAD	悲傷
SETTINGS.CONTROLS.SUSPICIOUS	懷疑
SETTINGS.CONTROLS.EYES_CLOSED	閉眼
SETTINGS.CONTROLS.SCARED	恐懼
SETTINGS.CONTROLS.HAPPY	快樂
POPUP.COSMETICS_COLOR_ALL.HEADER	更改顏色
POPUP.COSMETICS_COLOR_ALL.BODY	這將替換所有身體部位與裝飾品的顏色。\n\n此操作無法撤銷！
POPUP.COSMETICS_COLOR_ALL.OPT1	是的！ :')
POPUP.COSMETICS_COLOR_ALL.OPT2	不...
SETTINGS.AUDIO.SFX_VOLUME	特效音量
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	文字轉語音音量
SETTINGS.CAMERA_ANIMATION.OFF	關閉
SETTINGS.CAMERA_ANIMATION.VERY_LOW	極低
SETTINGS.CAMERA_ANIMATION.LOW	低
SETTINGS.CAMERA_ANIMATION.MEDIUM	中
SETTINGS.CAMERA_ANIMATION.DEFAULT	預設
SETTINGS.RICH_PRESENCE.OFF	關閉
SETTINGS.RICH_PRESENCE.MINIMAL	最低限度
SETTINGS.RICH_PRESENCE.FULL	完整
SETTINGS.WINDOW_MODE.WINDOWED	視窗化
SETTINGS.WINDOW_MODE.FULLSCREEN	全螢幕
SETTINGS.MAX_FPS.UNLIMITED	無限制
SETTINGS.LIGHT_DISTANCE.VERY_LOW	極低
SETTINGS.LIGHT_DISTANCE.LOW	低
SETTINGS.LIGHT_DISTANCE.MEDIUM	中
SETTINGS.LIGHT_DISTANCE.HIGH	高
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	極高
SETTINGS.SHADOW_QUALITY.VERY_LOW	極低
SETTINGS.SHADOW_QUALITY.LOW	低
SETTINGS.SHADOW_QUALITY.MEDIUM	中
SETTINGS.SHADOW_QUALITY.HIGH	高
SETTINGS.SHADOW_QUALITY.VERY_HIGH	極高
SETTINGS.SHADOW_DISTANCE.VERY_LOW	極低
SETTINGS.SHADOW_DISTANCE.LOW	低
SETTINGS.SHADOW_DISTANCE.MEDIUM	中
SETTINGS.SHADOW_DISTANCE.HIGH	高
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	極高
SETTINGS.RENDER_SIZE.SMALL	小
SETTINGS.RENDER_SIZE.MEDIUM	中
SETTINGS.RENDER_SIZE.DEFAULT	預設
SETTINGS.MIC_DEVICE.NONE	無
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	重設遊戲設定
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	要將遊戲設定恢復為預設嗎？
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	是的！
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	否
SETTINGS.GRAPHICS.HEADER	影像設定
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	重設影像設定
POPUP.RESET_GRAPHICS_SETTINGS.BODY	要將影像設定恢復為預設嗎？
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	是的！
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	否
POPUP.RESET_AUDIO_SETTINGS.HEADER	重設音訊設定
POPUP.RESET_AUDIO_SETTINGS.BODY	要將音訊設定恢復為預設嗎？
POPUP.RESET_AUDIO_SETTINGS.OPT1	是的！
POPUP.RESET_AUDIO_SETTINGS.OPT2	否
POPUP.RESET_CONTROLS_SETTINGS.HEADER	重設控制設定
POPUP.RESET_CONTROLS_SETTINGS.BODY	要將控制設定恢復為預設嗎？
POPUP.RESET_CONTROLS_SETTINGS.OPT1	是的！
POPUP.RESET_CONTROLS_SETTINGS.OPT2	否
COSMETICS.TYPE.FOOT_RIGHT	右腳穿著
COSMETICS.TYPE.FOOT_LEFT	左腳穿著
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	右臂覆蓋層
COSMETICS.TYPE.ARM_LEFT_OVERLAY	左臂覆蓋層
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	右腿覆蓋層
COSMETICS.TYPE.LEG_LEFT_OVERLAY	左腿覆蓋層
PASSWORD.HEADER	密碼
PASSWORD.SKIP	跳過
LOADING.LOADING	載入中
LOADING.STUCK_PROMPT_TOP_TEXT	卡在載入畫面？
LOADING.STUCK_PROMPT_BOTTOM_TEXT	按下 [menu] 返回主選單
LOBBY.HEADER	大廳
LOBBY.CHAT_PROMPT	按下 [chat] 進行對話
LOBBY.START_GAME	開始遊戲
LOBBY.INVITE	邀請
LOBBY.SETTINGS	設定
LOBBY.CUSTOMIZE	自訂外觀
LOBBY.LEAVE	離開
POPUP.START_GAME.HEADER	開始遊戲
POPUP.START_GAME.BODY	大家都準備好了嗎？\n\n遊戲一旦開始，\n新玩家將無法加入。
POPUP.START_GAME.OPT1	是的！
POPUP.START_GAME.OPT2	等等，還沒！
POPUP.LEAVE_LOBBY.HEADER	離開大廳
POPUP.LEAVE_LOBBY.BODY	你確定嗎？
POPUP.LEAVE_LOBBY.OPT1	是
POPUP.LEAVE_LOBBY.OPT2	否
POPUP.NEW_GAME.HEADER	新遊戲
POPUP.NEW_GAME.BODY	你想開始新遊戲嗎？
POPUP.NEW_GAME.OPT1	是的！
POPUP.NEW_GAME.OPT2	否
PASSWORD.CONFIRM	確認
LOBBY.PLAYER_JOINING	玩家加入中...
COSMETICS.TYPE.HEAD_BOTTOM	臉部下方
POPUP.COSMETICS_RESET_ALL.HEADER	清除
POPUP.COSMETICS_RESET_ALL.BODY	你確定要卸下所有身體部位和裝飾品嗎？\n\n此操作無法撤銷！
POPUP.COSMETICS_RESET_ALL.OPT1	是的！ :')
POPUP.COSMETICS_RESET_ALL.OPT2	不...
POPUP.COSMETICS_RESET_BODY.HEADER	清除
POPUP.COSMETICS_RESET_BODY.BODY	你確定要卸下所有身體部位嗎？\n\n此操作無法撤銷！
POPUP.COSMETICS_RESET_BODY.OPT1	是的！ :')
POPUP.COSMETICS_RESET_BODY.OPT2	不...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	清除
POPUP.COSMETICS_RESET_COSMETICS.BODY	你確定要卸下所有裝飾品嗎？\n\n此操作無法撤銷！
POPUP.COSMETICS_RESET_COSMETICS.OPT1	是的！ :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	不...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	隨機化
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	你確定要隨機分配所有身體部位和裝飾品嗎？\n\n此操作無法撤銷！
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	是的！ :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	不...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	隨機化
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	你確定要隨機分配所有身體部位嗎？\n\n此操作無法撤銷！
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	是的！ :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	不...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	隨機化
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	你確定要隨機分配所有裝飾品嗎？\n\n此操作無法撤銷！
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	是的！ :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	不...
POPUP.COSMETICS_COLOR_BODY.HEADER	更改顏色
POPUP.COSMETICS_COLOR_BODY.BODY	這將替換所有身體部位的顏色。\n\n此操作無法撤銷！
POPUP.COSMETICS_COLOR_BODY.OPT1	是的！ :')
POPUP.COSMETICS_COLOR_BODY.OPT2	不...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	更改顏色
POPUP.COSMETICS_COLOR_COSMETICS.BODY	這將替換所有裝飾品的顏色。\n\n此操作無法撤銷！
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	是的！ :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	不...
COSMETICS.TYPE.FACE_TOP	臉部上方
COSMETICS.TYPE.FACE_BOTTOM	臉部中間
MAIN.CUSTOMIZE	自訂外觀
ESC.HEADER	選單
ESC.CONTINUE	繼續
ESC.CUSTOMIZE	自訂外觀
ESC.SETTINGS	設定
ESC.SELF_DESTRUCT	自我毀滅
ESC.ACTIVE_MOONS	目前月相
ESC.MAIN_MENU	主選單
ESC.QUIT_GAME	退出遊戲
POPUP.MAIN_MENU.OPT2	否
MOONS.HEADER	目前月相
MOONS.BACK	返回
MOONS.MOON_1.NAME	新月
MOONS.MOON_1.ATTRIBUTE_1	卡車維修員現在可恢復 35 點生命。
MOONS.MOON_1.ATTRIBUTE_2	現在更難使用貴重物品擊倒怪物。
MOONS.MOON_2.NAME	弦月
MOONS.MOON_2.ATTRIBUTE_1	怪物現在會使你的抓取器過載。
MOONS.MOON_2.ATTRIBUTE_2	怪物掉入深坑會受到重傷，但仍可存活。
MOONS.MOON_2.ATTRIBUTE_3	卡車維修員現在恢復 25 點生命。
MOONS.MOON_3.NAME	滿月
MOONS.MOON_3.ATTRIBUTE_1	怪物使抓取器過載的量總計增加 25%。
MOONS.MOON_3.ATTRIBUTE_2	怪物現在從深坑受到的傷害減少。
MOONS.MOON_4.NAME	超級月亮
MOONS.MOON_4.ATTRIBUTE_1	敵人法球在被摧毀時現在會爆炸。
MOONS.MOON_4.ATTRIBUTE_2	怪物使抓取器過載的量總計增加 50%。
MOONS.MOON_4.ATTRIBUTE_3	怪物從深坑受到的傷害進一步減少。
LOBBY.PING	{ping} 毫秒
REGIONS.PING	{ping} 毫秒
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	光敏感警告
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	本遊戲包含閃爍光線效果。
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	部分人士在接觸特定光影圖案或閃爍光線時可能會引發癲癇發作。若你在遊玩時感到任何不適，請立即停止遊戲並諮詢醫生。
LEVEL.NAME.SHOP	維修站
LEVEL.NAME.ARENA	廢棄物競技場
LEVEL.NAME.ARCTIC	McJannek 站
LEVEL.NAME.MANOR	首領莊園
LEVEL.NAME.MUSEUM	人類藝術博物館
LEVEL.NAME.WIZARD	迅捷掃帚學院
LOADING.LEVEL.SHOP	商店
LOADING.LEVEL.LEVEL_NUMBER	第 {number} 關
LOADING.LEVEL.GAME_OVER	遊戲結束
SAVES.SAVE_INFO.PLAYER_SOLO	你獨自一人完成了這一切！
POPUP.SAVE_LIMIT.HEADER	已達存檔數量上限
POPUP.SAVE_LIMIT.BODY	你最多只能同時擁有 {limit} 個存檔。請刪除部分存檔以釋放空間建立新存檔。
POPUP.SAVE_LIMIT.BUTTON	確定
POPUP.KICKED.HEADER	已被逐出
POPUP.KICKED.BODY	你已被遊戲主持逐出房間。
POPUP.KICKED.BUTTON	好吧
POPUP.DISCONNECTED.HEADER	連線中斷
POPUP.DISCONNECTED.STUCK_LOADING	卡在載入畫面中
POPUP.DISCONNECTED.HOST_DISCONNECTED	遊戲主持已斷線
POPUP.DISCONNECTED.BUTTON	好吧
POPUP.VERSION_MISMATCH.HEADER	遊戲版本不相符
POPUP.VERSION_MISMATCH.BODY	該遊戲房間正在使用的版本為：\n{version}
POPUP.VERSION_MISMATCH.BUTTON	好吧
POPUP.LOBBY_CLOSED.HEADER	房間已關閉
POPUP.LOBBY_CLOSED.BODY	該遊戲房間已經關閉。
POPUP.LOBBY_CLOSED.BUTTON	好吧
POPUP.DISCONNECTED.CAUSE_PREFIX	原因：
POPUP.DISCONNECTED.BANNED_LOBBY	你已被此房間封鎖。
